2
0,0,0,
0.105263,0,0.974098,
0.210526,0,1.84264,
0.315789,0,2.5115,
0.421053,0,2.9082,
0.526316,0,2.98975,
0.631579,0,2.74732,
0.736842,0,2.20717,
0.842105,0,1.42784,
0.947368,0,0.493784,
1.05263,0,-0.493784,
1.15789,0,-1.42784,
1.26316,0,-2.20717,
1.36842,0,-2.74732,
1.47368,0,-2.98975,
1.57895,0,-2.9082,
1.68421,0,-2.5115,
1.78947,0,-1.84264,
1.89474,0,-0.974098,
2,0,-7.34788e-16,
0,0.105263,0.974098,
0.105263,0.105263,1.6345,
0.210526,0.105263,2.2949,
0.315789,0.105263,2.86538,
0.421053,0.105263,3.27586,
0.526316,0.105263,3.47931,
0.631579,0.105263,3.45323,
0.736842,0.105263,3.19926,
0.842105,0.105263,2.74135,
0.947368,0.105263,2.12393,
1.05263,0.105263,1.41103,
1.15789,0.105263,0.679886,
1.26316,0.105263,0.0126329,
1.36842,0.105263,-0.513241,
1.47368,0.105263,-0.837174,
1.57895,0.105263,-0.922881,
1.68421,0.105263,-0.760626,
1.78947,0.105263,-0.365431,
1.89474,0.105263,0.228133,
2,0.105263,0.974098,
0,0.210526,1.84264,
0.105263,0.210526,2.2949,
0.210526,0.210526,2.83707,
0.315789,0.210526,3.37925,
0.421053,0.210526,3.85056,
0.526316,0.210526,4.19841,
0.631579,0.210526,4.38703,
0.736842,0.210526,4.39529,
0.842105,0.210526,4.21436,
0.947368,0.210526,3.84956,
1.05263,0.210526,3.33407,
1.15789,0.210526,2.72373,
1.26316,0.210526,2.09106,
1.36842,0.210526,1.5189,
1.47368,0.210526,1.07718,
1.57895,0.210526,0.814475,
1.68421,0.210526,0.75731,
1.78947,0.210526,0.913407,
1.89474,0.210526,1.27796,
2,0.210526,1.84264,
0,0.315789,2.5115,
0.105263,0.315789,2.86538,
0.210526,0.315789,3.37925,
0.315789,0.315789,3.96399,
0.421053,0.315789,4.54873,
0.526316,0.315789,5.07672,
0.631579,0.315789,5.5012,
0.736842,0.315789,5.7805,
0.842105,0.315789,5.87124,
0.947368,0.315789,5.7259,
1.05263,0.315789,5.35195,
1.15789,0.315789,4.78991,
1.26316,0.315789,4.10897,
1.36842,0.315789,3.4206,
1.47368,0.315789,2.81252,
1.57895,0.315789,2.34629,
1.68421,0.315789,2.06198,
1.78947,0.315789,1.98379,
1.89474,0.315789,2.12767,
2,0.315789,2.5115,
0,0.421053,2.9082,
0.105263,0.421053,3.27586,
0.210526,0.421053,3.85056,
0.315789,0.421053,4.54873,
0.421053,0.421053,5.30364,
0.526316,0.421053,6.05855,
0.631579,0.421053,6.76053,
0.736842,0.421053,7.35429,
0.842105,0.421053,7.76419,
0.947368,0.421053,7.83085,
1.05263,0.421053,7.55792,
1.15789,0.421053,6.97498,
1.26316,0.421053,6.13432,
1.36842,0.421053,5.242,
1.47368,0.421053,4.40602,
1.57895,0.421053,3.69619,
1.68421,0.421053,3.16054,
1.78947,0.421053,2.83208,
1.89474,0.421053,2.73745,
2,0.421053,2.9082,
0,0.526316,2.98975,
0.105263,0.526316,3.47931,
0.210526,0.526316,4.19841,
0.315789,0.526316,5.07672,
0.421053,0.526316,6.05855,
0.526316,0.526316,7.09331,
0.631579,0.526316,8.12808,
0.736842,0.526316,9.11194,
0.842105,0.526316,10.0004,
0.947368,0.526316,10.2754,
1.05263,0.526316,10.0739,
1.15789,0.526316,9.41776,
1.26316,0.526316,8.21132,
1.36842,0.526316,7.00706,
1.47368,0.526316,5.87337,
1.57895,0.526316,4.87189,
1.68421,0.526316,4.05193,
